token,file,line,count,category
Colors.red,lib\screens\copied_ticket_edit_screen.dart,77,1,error
Colors.red,lib\screens\create_ticket_screen.dart,106,1,error
Colors.yellow,lib\screens\events_screen.dart,56,1,error
Colors.black,lib\screens\events_screen.dart,60,1,grey
Colors.black,lib\screens\events_screen.dart,65,1,grey
Colors.yellow,lib\screens\leaderboard\leaderboard_screen.dart,62,1,error
Colors.red,lib\screens\login_register_screen.dart,164,1,error
Colors.red,lib\screens\login_register_screen.dart,195,1,error
Colors.black,lib\screens\login_register_screen.dart,202,1,grey
Colors.blue,lib\screens\login_register_screen.dart,209,1,misc
Colors.white,lib\screens\login_register_screen.dart,342,1,grey
Colors.red,lib\screens\profile_screen.dart,301,1,error
Colors.white,lib\widgets\app_drawer.dart,25,1,grey
Colors.grey,lib\widgets\home_feed.dart,156,1,grey
Colors.red,lib\widgets\notification_bell_widget.dart,35,1,error
Colors.white,lib\widgets\notification_bell_widget.dart,42,1,grey
Colors.green,lib\widgets\ticket_status_chip.dart,19,1,brand
Colors.red,lib\widgets\ticket_status_chip.dart,23,1,error
Colors.grey,lib\widgets\ticket_status_chip.dart,27,1,grey
Colors.grey,lib\widgets\ticket_status_chip.dart,31,1,grey
